,comune,provincia,alt,lat,lon,superficie_media,produzione_media,prec_media,temp_media,superficie_std,produzione_std,prec_std,temp_std
0,Abano Terme,padova,45.0,45.35938697,11.78871302,18797.3125,1238952.0625,922.2375,14.874375,3957.7717420917543,271951.5867055431,272.8838797608487,0.40551150826250687
1,Abbadia Cerreto,lodi,64.0,45.31239093,9.59252482,3285.9375,200190.0,745.2999999999998,13.848124999999998,744.9752093190752,59782.324282907124,258.7880780355489,0.4569933442257848
2,Abbadia Lariana,lecco,909.0,45.90049968,9.33454921,359.375,18240.8125,1323.0625000000002,15.040625,71.88034038131242,3711.8601665247757,298.0390284845259,0.4564569165503649
3,Abbadia San Salvatore,siena,1021.5,42.8809692,11.67750649,5629.4375,213392.0625,871.051875,15.1115625,2422.478482016576,77535.63378943366,189.4306011610848,0.48429921450139407
4,Abbasanta,oristano,377.5,40.12390307,8.82102235,2500.125,103576.6875,575.68125,17.361875,2202.084644906579,93583.94608529731,158.35728051361158,1.0104600849777947
5,Abbateggio,pescara,712.0,42.22446748,14.01007278,1645.1875,71984.25,727.3375000000002,15.7225,285.8627220071433,12987.457064414113,121.50807311999202,0.31649117944528393
6,Abbiategrasso,milano,101.0,45.39857615,8.91748563,5776.1875,322345.875,819.7375000000001,15.768125000000001,2442.1657934096115,132770.57721843597,245.4266241330254,0.8747968811863321
7,Abriola,potenza,1215.5,40.50793246,15.81220103,5191.75,130815.6875,748.2312499999999,13.649999999999999,829.9411625731867,24654.08772791712,184.8539016583998,0.4445372125405621
8,Accadia,foggia,769.0,41.15811611,15.33092322,2727.0625,88686.875,486.5999999999999,17.629375,1520.766713152722,53917.15332727301,70.78063765371617,0.30771130950941633
9,Acceglio,cuneo,2173.0,44.47580767,6.99122231,19170.1875,996373.9375,978.53125,13.02875,3783.97012353868,127107.35098148005,238.41430247575332,0.4869069041750523
10,Accettura,matera,812.5,40.49150467,16.15735845,1494.4375,45672.625,604.9125,16.564375000000002,431.8425590806599,13946.850449115742,86.00545622226534,0.6058159098824221
11,Acciano,l'aquila,877.0,42.1767172,13.71834861,2152.25,82311.875,627.6375,12.88125,573.0578213990859,21152.881984495638,163.03043836453773,0.28446147952461626
12,Accumoli,rieti,1425.0,42.69478482,13.24768618,2973.375,126081.25,995.86875,13.835624999999997,1148.9059651105772,37161.537979475506,233.51380749683017,0.32653675137723814
13,Acerenza,potenza,568.0,40.79553337,15.94167632,5191.75,130815.6875,748.2312499999999,13.649999999999999,829.9411625731867,24654.08772791712,184.8539016583998,0.4445372125405621
14,Acerno,salerno,1104.0,40.738303,15.05943917,3410.75,112994.5625,1083.46875,17.98875,825.9487877586602,26821.94106564935,262.93953606295116,1.320655771450936
15,Aci Bonaccorsi,catania,358.0,37.59789361,15.10860732,763.8125,22501.875,723.6500000000001,19.65,847.7495085027573,37079.263606271,216.17983254688676,0.8790676879512737
16,Aci Castello,catania,134.5,37.5558181,15.14523329,763.8125,22501.875,723.6500000000001,19.65,847.7495085027573,37079.263606271,216.17983254688676,0.8790676879512737
17,Aci Catena,catania,182.0,37.60268159,15.14224165,763.8125,22501.875,723.6500000000001,19.65,847.7495085027573,37079.263606271,216.17983254688676,0.8790676879512737
18,Aci Sant'Antonio,catania,411.0,37.60601727,15.12585282,763.8125,22501.875,723.6500000000001,19.65,847.7495085027573,37079.263606271,216.17983254688676,0.8790676879512737
19,Acireale,catania,218.5,37.61215073,15.16628791,763.8125,22501.875,723.6500000000001,19.65,847.7495085027573,37079.263606271,216.17983254688676,0.8790676879512737
20,Acquafondata,frosinone,935.5,41.54312171,13.95216686,5194.9375,160043.5,1130.0625,15.23125,888.960101748104,36233.527709383554,282.08924326650003,0.4147268177165945
21,Acquaformosa,cosenza,871.0,39.72177269,16.09007863,7281.625,197788.75,1019.0874999999999,16.216875,2362.3275492615326,55901.76123582035,257.9193772609314,0.21632440916364526
22,Acquafredda,brescia,53.5,45.30716861,10.41190041,6047.4375,354048.75,957.6749999999998,15.284375,1029.971453892453,74817.50704258107,228.0788854760563,0.48583905085257684
23,Acquanegra Cremonese,cremona,46.0,45.16831524,9.88878548,8995.125,532520.75,736.9562500000001,14.843124999999999,1972.3539193900606,142862.93958733085,248.9312059418559,0.6920473851791755
24,Acquanegra sul Chiese,mantova,28.5,45.16049553,10.43338521,18129.0,1080452.5625,613.8375,15.516875,2010.4485734946484,147895.17723710887,189.6262600485492,0.7235350141262457
25,Acquapendente,viterbo,474.0,42.74404371,11.86505396,2724.375,105737.5,791.825,16.31125,641.903094970988,27725.863376998743,221.44243044186453,0.3910818328687727
26,Acquappesa,cosenza,481.0,39.49462453,15.95403649,7281.625,197788.75,1019.0874999999999,16.216875,2362.3275492615326,55901.76123582035,257.9193772609314,0.21632440916364526
27,Acquaro,vibo valentia,672.5,38.55558146,16.18996399,909.5,25361.0,981.625,15.75375,516.8980557131164,13613.117164460657,148.40553224189458,0.2740772397214573
28,Acquasanta Terme,ascoli piceno,1147.5,42.76912283,13.40930458,6208.375,285989.5,870.5749999999999,14.051874999999999,2270.6913447964107,100273.74176257045,135.31409140711588,0.7625677565523827
29,Acquasparta,terni,599.0,42.69062742,12.54631473,5475.4375,230072.6875,808.4749999999999,16.520625,655.1655229787355,39828.65075916875,170.19131000142164,0.26799175982356976
30,Acquaviva Collecroce,campobasso,337.5,41.86790077,14.74673587,2274.0,55048.125,801.4862500000002,13.466249999999999,952.8827839771269,41666.16920536372,175.5785707074376,0.3402327634625055
31,Acquaviva Picena,ascoli piceno,192.5,42.94473063,13.8146435,6208.375,285989.5,870.5749999999999,14.051874999999999,2270.6913447964107,100273.74176257045,135.31409140711588,0.7625677565523827
32,Acquaviva d'Isernia,isernia,888.5,41.67210928,14.14986101,829.5625,26612.0,1035.1000000000001,13.091249999999999,395.4730448041518,13550.643497635085,210.77672230743758,0.7082172453892002
33,Acquaviva delle Fonti,bari,315.0,40.89657272,16.84189135,4028.0,99657.0,581.85,17.469374999999996,1957.8944132238933,46157.1067550816,140.06418528660353,0.307125788562276
34,Acquedolci,messina,243.5,38.05636112,14.58806194,121.5625,2655.9375,842.9125,19.570624999999996,23.644502532301242,798.5804462711736,172.99818447987636,0.38606508518642296
35,Acqui Terme,alessandria,290.5,44.67660776,8.46975213,33505.125,1694910.3125,623.8125,13.59125,3816.976340420957,397170.676324712,196.27805404578473,0.46121397781651574
36,Acri,cosenza,786.0,39.48835683,16.38155051,7281.625,197788.75,1019.0874999999999,16.216875,2362.3275492615326,55901.76123582035,257.9193772609314,0.21632440916364526
37,Acuto,frosinone,678.0,41.79186612,13.17302627,5194.9375,160043.5,1130.0625,15.23125,888.960101748104,36233.527709383554,282.08924326650003,0.4147268177165945
38,Adelfia,bari,172.0,41.00183306,16.87199903,4028.0,99657.0,581.85,17.469374999999996,1957.8944132238933,46157.1067550816,140.06418528660353,0.307125788562276
39,Adrano,catania,1722.5,37.66181377,14.83268741,763.8125,22501.875,723.6500000000001,19.65,847.7495085027573,37079.263606271,216.17983254688676,0.8790676879512737
40,Adrara San Martino,bergamo,776.5,45.69819924,9.9482497,4083.25,226830.0,1129.1125000000002,14.084999999999999,467.63183524363853,33453.5271802541,304.6219862386824,0.5853318147284783
41,Adrara San Rocco,bergamo,825.5,45.71217274,9.95771458,4083.25,226830.0,1129.1125000000002,14.084999999999999,467.63183524363853,33453.5271802541,304.6219862386824,0.5853318147284783
42,Adria,rovigo,2.5,45.05465533,12.05644639,24455.5625,1599336.75,667.4187499999999,14.273125,2987.9694770585156,175797.58714024874,155.69555856970786,0.3895590455887267
43,Adro,brescia,427.0,45.62514272,9.95535378,6047.4375,354048.75,957.6749999999998,15.284375,1029.971453892453,74817.50704258107,228.0788854760563,0.48583905085257684
44,Affi,verona,289.0,45.55157835,10.77315447,15129.3125,939398.75,788.2687500000001,14.358749999999999,1565.6389417210253,172397.40928003142,223.46362483634778,0.4852748362182674
45,Affile,roma,762.5,41.8843797,13.09728573,1694.8125,56850.9375,768.801875,17.31625,700.9676377456142,30369.584796785857,200.28264828216317,0.7519297396255384
46,Agazzano,piacenza,228.0,44.94680696,9.52061417,19921.9375,1141744.1875,710.0500000000001,14.853124999999999,5087.55745544952,286383.4432873098,212.12154377463247,0.4621791680001741
47,Aggius,sassari,508.5,40.92880745,9.06392097,2458.3125,102384.125,653.6249999999999,15.894375000000002,2247.680366325841,94906.06547098732,156.89012503447546,0.5901973539983606
48,Agliana,pistoia,43.0,43.90278508,11.00653402,392.75,14863.5625,1112.8562500000003,15.341875,875.6737215805135,37820.201703972525,214.27101831947945,0.523363719924617
49,Agliano Terme,asti,212.0,44.79070477,8.25110248,8971.375,420890.6875,699.9874999999998,13.439999999999998,1079.425518505099,111863.49586987332,207.8018988524086,0.5079895012038472
50,Aglientu,sassari,317.0,41.08161989,9.11300677,2458.3125,102384.125,653.6249999999999,15.894375000000002,2247.680366325841,94906.06547098732,156.89012503447546,0.5901973539983606
51,Agliè,torino,400.0,45.36343304,7.7686,18967.5,1075820.1875,951.5749999999998,15.0475,2572.9419736947048,164744.96700302928,230.23461512118456,0.4558289152741407
52,Agna,padova,3.5,45.16977788,11.95672802,18797.3125,1238952.0625,922.2375,14.874375,3957.7717420917543,271951.5867055431,272.8838797608487,0.40551150826250687
