,provincia,alt,lat,lon,superficie_media,produzione_media,prec_media,temp_media,superficie_std,produzione_std
0,A Coruña,276.0,43.166667,-8.416667,1745.090909090909,60667.27272727273,1050.0,15.0,70.28862574478825,2772.8731341664043
3,Badajoz,406.0,38.666667,-6.166667,70709.81818181818,1843486.3636363635,450.0,17.45,6563.516707043282,42194.658278679606
4,Barcelona,513.0,41.666667,2.0,23458.909090909092,965060.9090909092,600.0,16.7,2322.7220434027595,17449.102254583446
6,Ciudad Real,712.0,39.0,-4.0,46944.181818181816,1056415.4545454546,400.0,15.95,6621.942642732295,32712.125703976002
7,Cuenca,958.0,40.0,-2.0,38564.0,1156117.2727272727,500.0,13.65,5718.9876551711495,21136.365719256984
8,Cáceres,455.0,39.666667,-6.0,4920.818181818182,102270.9090909091,545.0,16.5,788.3851619838895,2941.897430385548
9,Cádiz,186.0,36.5,-5.75,63852.36363636364,1780356.3636363635,525.0,18.75,6357.660706151709,31232.372827797528
10,Córdoba,449.0,38.0,-4.833333,71360.54545454546,2230908.1818181816,100.0,18.45,11328.740639308826,59046.19930667542
12,Granada,1077.0,37.25,-3.25,13231.272727272728,242366.36363636365,355.0,15.95,1645.8851777028124,9228.902917169811
13,Guadalajara,1068.0,40.833333,-2.5,65761.27272727272,1888474.5454545456,43.0,13.8,4899.3356302851735,49769.550290039064
14,Huelva,222.0,37.666667,-7.0,15114.555555555555,526077.7777777778,530.0,18.35,890.8358590547291,10808.293225317513
15,Huesca,850.0,42.166667,-0.166667,65501.181818181816,2697132.727272727,485.0,14.35,12321.737895428401,54236.50822110678
16,Jaén,714.0,38.0,-3.5,8655.636363636364,228495.45454545456,495.0,17.3,1392.9142308647201,4870.276344595579
17,Las Palmas,307.0,28.333333,-14.333333,98.0,1370.0,80.0,21.35,42.444735310230826,65.3588385589721
18,León,1080.0,42.666667,-6.0,56826.545454545456,2318592.7272727275,515.0,11.15,5612.539057568088,51113.10507509969
19,Lleida,932.0,43.0,-7.5,50859.90909090909,2152198.1818181816,340.0,15.35,3688.9919071352124,57412.39432878267
20,Lugo,563.0,43.0,-7.5,3320.7272727272725,79378.18181818182,1400.0,12.2,397.46222233291314,1221.7687848510307
21,Málaga,517.0,36.8,-4.75,20405.090909090908,502572.7272727273,469.2,18.7,2799.1224501455963,9630.468836883374
24,Pontevedra,351.0,42.5,-8.5,289.3636363636364,7539.090909090909,1500.0,14.75,125.8191342580871,483.13092522533776
25,Salamanca,823.0,40.833333,-6.0,69204.0,2224137.2727272725,375.0,12.4,6095.1331240589,73713.54376787336
26,Segovia,1020.0,41.166667,-4.0,71985.09090909091,2137110.909090909,465.0,12.6,4180.82196355084,61571.615274336524
27,Sevilla,200.0,37.447006,-5.696078,151277.54545454544,4784725.454545455,550.0,19.45,16141.157277987453,83143.00660111304
29,Tarragona,339.0,41.166667,1.0,6662.454545454545,246642.7272727273,450.0,17.25,793.0514943730155,7573.151643680577
31,Toledo,635.0,39.833333,-4.0,56670.0,1300482.7272727273,141.0,16.35,7028.338082363426,43491.20662637658
32,Valladolid,777.0,41.583333,-4.666667,100956.54545454546,3624753.6363636367,100.0,13.05,16954.031853005567,139441.6081126955
33,Zamora,828.0,41.75,-6.0,69258.45454545454,2301740.909090909,380.0,13.5,5364.66687434805,71489.1036220969
34,Zaragoza,551.0,41.583333,-1.0,148646.36363636365,3872586.3636363633,350.0,15.8,20578.423002128835,66573.66864650426
35,Ávila,1131.0,40.583333,-5.0,34403.5,1149425.0,141.0,11.5,400.92954493277244,11242.290714084918
