,stato,citta,alt,lat,lon,superficie_media,produzione_media,superficie_std,produzione_std,temp_media,prec_media
0,arunachal pradesh,tawang,2432.0,27.57417,91.92437,1243.2222222222222,1922.888888888889,260.4327061727164,428.5246330272171,25.42069892473118,2535.8416666666667
1,bihar,araria,56.0,26.14934,87.51323,53775.333333333336,108128.33333333333,7612.774182254456,57138.721102681324,25.42069892473118,1064.3583333333333
2,bihar,aurangabad,588.0,19.87757,75.34226,73976.0,147189.44444444444,14787.911363678104,47423.44851207868,26.291666666666668,1064.3583333333333
3,bihar,aurangabad,116.0,24.75204,84.3742,73976.0,147189.44444444444,14787.911363678104,47423.44851207868,26.291666666666668,1064.3583333333333
4,bihar,banka,85.0,24.88091,86.92257,26840.0,62144.88888888889,3305.192770474969,15746.136966288306,25.42069892473118,1064.3583333333333
5,bihar,begusarai,47.0,25.41853,86.13389,53689.555555555555,132181.0,1437.026888328043,41944.66319449949,25.42069892473118,1064.3583333333333
6,bihar,bhagalpur,52.0,25.24446,86.97183,43997.11111111111,95778.88888888889,2301.431317921765,25082.417454486145,26.25,1064.3583333333333
7,bihar,buxar,67.0,25.57548,83.98043,77571.88888888889,202843.66666666666,6793.390012439379,50103.82139368214,25.42069892473118,1064.3583333333333
8,bihar,darbhanga,58.0,26.15216,85.89707,67652.0,161583.0,10206.861809586731,42896.59732426338,25.42069892473118,1064.3583333333333
9,bihar,gaya,117.0,24.79686,85.00385,61482.0,142347.44444444444,8993.353615309476,29885.09955274999,26.125,1064.3583333333333
10,bihar,gopalganj,74.0,26.46734,84.44041,81340.44444444444,203528.77777777778,3557.1155488369754,78017.16293511604,25.42069892473118,1064.3583333333333
11,bihar,jamui,88.0,24.92606,86.22531,9904.444444444445,15554.222222222223,2874.2417309227453,5179.296085805912,25.42069892473118,1064.3583333333333
12,bihar,katihar,34.0,25.53852,87.57044,36077.77777777778,83412.77777777778,2590.6903412882916,27463.42891363794,25.42069892473118,1064.3583333333333
13,bihar,khagaria,47.0,25.5022,86.46708,32006.444444444445,73801.66666666667,1845.5786430758696,34470.65871505794,25.42069892473118,1064.3583333333333
14,bihar,kishanganj,57.0,26.10224,87.95534,19016.88888888889,27530.777777777777,2878.2885732864074,7840.319154501585,25.42069892473118,1064.3583333333333
15,bihar,madhubani,61.0,26.35367,86.07169,91390.0,170018.33333333334,4149.073721928787,47436.54273605951,25.42069892473118,1064.3583333333333
16,bihar,muzaffarpur,60.0,26.12259,85.39055,93685.77777777778,235911.0,5948.851796308632,78560.6021091361,25.125,1064.3583333333333
17,bihar,nawada,93.0,24.8867,85.54364,49989.666666666664,110962.22222222222,4857.60849081109,15728.490922349938,25.42069892473118,1064.3583333333333
18,bihar,patna,53.0,25.59408,85.13563,59671.555555555555,162772.22222222222,1574.6448100374166,34054.92758683307,26.416666666666668,1064.3583333333333
