Geoname ID,Name,ASCII Name,Alternate Names,Latitude,Longitude,Population,Digital Elevation Model,Country,Coordinates
1252668,Ziro,Ziro,"ZER,Zero,Ziro",27.59497,93.83854,13893,1579,India,"27.59497, 93.83854"
1252942,Wardha,Wardha,"Vardha,Vardhá,Vardkha,Varntcha,Wardha,oyaradha,raaradha,vardha,varta,waruda,wo er ta,???????,??????,?????,?????,???????,?????,?????,?????,????,???",20.73933,78.59784,113759,292,India,"20.73933, 78.59784"
1253193,Vij?pur,Vijapur,"Vijapur,Vij?pur",23.5623,72.74848,24297,126,India,"23.5623, 72.74848"
1253219,Vettaikkaranpudur,Vettaikkaranpudur,"Vettagaranpudur,Vettaikkaranpudur,Vettaikk?ranpud?r,Vettakkaranpudur,Vettakk?ranpud?r",10.56207,76.91305,18128,284,India,"10.56207, 76.91305"
1253577,Vadnagar,Vadnagar,Vadnagar,23.78593,72.63893,24832,172,India,"23.78593, 72.63893"
1253751,Uni?ra,Uniara,"Uniara,Uniyara Khurd,Uniy?ra Khurd,Uni?ra",26.15336,75.21523,11441,352,India,"26.15336, 75.21523"
1254163,Thiruvananthapuram,Thiruvananthapuram,"City of Lord Anantha,TRV,TVM,Thiruvananthapuram,Tiruvananantapuram,Tiruvanantapuram,Tiruvanantapuramas,Tkhiruvanantkhapuram,Trivandrum,te li fan de lang,thyrwfananthabwram,tilubanantapulam,tiru'anantapuram,tirubanantapurama,tiruvanantapuram,tiruvanantapurama,tiruvu~anantapuramu,tribanadrama,tribendrama,trywandrwm,trywwndrwm,????????????????,??????????????????,??????????,??????????,?????????,????????????????,????????????????,??????????????,????????????,?????????????,??????????????,?????????????,????????????,?????????????,????????????,??????????????,????????????,?????????????,?????????????,???????????,?????,???????",8.4855,76.94924,784153,18,India,"8.4855, 76.94924"
1254481,Tilhar,Tilhar,Tilhar,27.96282,79.73827,57043,161,India,"27.96282, 79.73827"
1254868,Tarn T?ran,Tarn Taran,"Tarn Taran,Tarn T?ran",31.45191,74.92777,58585,227,India,"31.45191, 74.92777"
1254953,Tanuku,Tanuku,"Tanuku,ta nu ku,tanukku,tanuku,tanuku mandala,tnwkw,?????,????? ?????,??????,??????,???????,?????,???",16.75438,81.68143,68290,15,India,"16.75438, 81.68143"
1255122,T?l?kota,Talikota,"Talikota,Talikoti,T?l?kota",16.47311,76.31085,27902,513,India,"16.47311, 76.31085"
1255361,S?ratgarh,Suratgarh,"Suratgarh,Suratgarkh,S?ratgarh,?????????",29.3215,73.89979,63153,172,India,"29.3215, 73.89979"
1255372,S?randai,Surandai,"Surandai,S?randai",8.97574,77.41923,28989,136,India,"8.97574, 77.41923"
1255647,Srikakulam,Srikakulam,"Chicacole,Srikakulam,Sr?k?kulam,srikakulam,??????????",18.2989,83.89751,118299,14,India,"18.2989, 83.89751"
1255713,Sorab,Sorab,Sorab,14.38144,75.09183,7088,590,India,"14.38144, 75.09183"
1255816,Sompeta,Sompeta,"Sompeta,sompeta,??????",18.94419,84.58449,17982,26,India,"18.94419, 84.58449"
1255844,Solim,Solim,"Siolim,Solim",15.61521,73.7674,10480,11,India,"15.61521, 73.7674"
1256067,Sirohi,Sirohi,"Sirohi,Sirokhi,shirohi,sirohi,xi luo xi,??????,?????,??????,??????,??????,??????,?????,???",24.88838,72.84794,38610,294,India,"24.88838, 72.84794"
1256333,Sikka,Sikka,"Sika,Siki,Sikka",22.43218,69.84158,19404,13,India,"22.43218, 69.84158"
1256418,Shuj?lpur,Shujalpur,"Shujalpur,Shuj?lpur",23.40673,76.7098,47058,452,India,"23.40673, 76.7098"
1256532,Shik?rp?r,Shikarpur,"Shikarpur,Shik?rpur,Shik?rp?r",28.28072,78.01411,34649,202,India,"28.28072, 78.01411"
1256725,Sh?hkot,Shahkot,"Jullundur,Shahkot,Sh?hkot",31.08173,75.33708,13577,227,India,"31.08173, 75.33708"
1256983,Saundatti,Saundatti,"Saundatti,Saundatti Yellamma,Soundatti",15.76615,75.11778,40091,660,India,"15.76615, 75.11778"
1257307,Saoner,Saoner,Saoner,21.3851,78.92155,29638,328,India,"21.3851, 78.92155"
1257528,Samdari,Samdari,Samdari,25.81299,72.57879,17915,143,India,"25.81299, 72.57879"
1257540,Sambhal,Sambhal,"Sambal,Sambhal,sambal,sambhala,??????,??????,?????,????,???????,??????",28.58498,78.56959,196109,203,India,"28.58498, 78.56959"
1257928,Sabalgarh,Sabalgarh,Sabalgarh,26.24918,77.40786,31032,208,India,"26.24918, 77.40786"
