provincia,2006 - prec mm,2007 - prec mm,2008 - prec mm,2009 - prec mm,2010 - prec mm,2011 - prec mm,2012 - prec mm,2013 - prec mm,2014 - prec mm,2015 - prec mm,2016 - prec mm,2017 - prec mm,2018 - prec mm,2019 - prec mm,2020 - prec mm,2021 - prec mm
torino,697.2,628.8,1192.8,826.2,1317.6,1162.4,871.4,1035.4,1150.2,894.2,975.4,485.8,1080.8,1203.4,842.8,860.8
vercelli,650.4,602,1090.8,862.8,1186,758.8,753.8,934.2,1376.6,700.2,854.6,375.8,854.4,855,781.8,585.7
novara,664,400.6,1256.8,1138.4,1357.2,864.4,858.6,840,1455.2,786.4,938.2,444.8,916.4,738.4,822.6,665.6
cuneo,733.2,671.4,1203.2,1218,1238.6,1032.2,880.6,987.8,1211.6,846,1013.4,576.6,1346.2,1161.4,863.8,672.5
asti,517.8,485.4,1026.6,787.2,860.6,672,706,749.2,1090.6,642.4,674.8,367.4,820,836.8,602.8,360.2
alessandria,467.2,397,666.6,675.4,898.4,562,571.2,733.4,1000.2,432.4,501,315,850.6,794.4,671,445.2
biella,1076.2,915.4,1575.2,1202,1580.2,1263,1231.6,1340.8,2063.6,997.2,1236.4,833.6,1582,1381.8,1270.8,1112.8
verbania,1585,1300.8,2543.4,2405,2235.8,1479.2,1838,2186.8,2903.6,1716.6,2027.2,1460.4,1910.2,2363.4,1807.2,1520.8
aosta,472.6,434.6,760.7,468.9,532.7,585.2,472.8,653.3,548.3,461.3,604.2,452.1,750.5,572.9,421.1,405.7
varese,1181.5,1126.2,2229.1,2018.5,2030.3,1177.4,1586.8,1728.4,2402.5,1404.7,1762,1276.7,1505.2,1553.6,1316,1443.1
como,897,1002.4,1956.4,1323.6,1662.8,969.2,1113.4,1601.8,2251.8,1043.6,1467.8,1248.6,1243.8,1367.2,1211.2,1271.4
sondrio,850.7,684.8,1402.5,1131.8,1087.9,789.1,1117.5,1163.4,1316.4,826.2,1091.4,852.5,864.4,1056.4,972.2,781.4
milano,600.8,....,1047.8,1067.8,1183.2,427.6,768.8,1018,1302,659,920,553.2,726.6,791.8,759.8,659.2
bergamo,698.2,....,1313.2,1082.6,1551.8,870.8,1168.2,1146.4,1772.6,850,1474.2,1009,1152.4,1088.8,1281,976.4
brescia,809.2,742.2,1056.4,1029.6,1430.2,843.6,939,1135.2,1325.2,611.6,1023.8,664.4,933,1006.8,1073.8,698.8
pavia,542.2,517.8,629.4,808,1121.8,621.2,657.8,828.6,1194.2,472.6,547.2,389,762.2,740,679.4,556.8
cremona,563.4,....,724.7,864.5,1256.5,592.3,592.1,1168.2,995.8,477.4,675.4,551.6,911.2,854,542.6,391.4
mantova,598.4,462.4,743.2,724.4,960.4,568.6,557.2,812.2,898,421,681,442.4,544.2,727.2,298.8,382
lecco,1048.8,962.4,1610.6,1409.4,1671.8,904.8,1069.8,1241.2,2052.8,1050.2,1355,1282.6,1500.6,1263.4,1472.6,1273
lodi,481,545,881,921.4,1168.6,477.2,621.6,978,1317.6,496,570,462.4,878.4,742.8,711.8,672
monza,821.2,....,1406.9,1273.7,1614.7,950.4,1059.3,1338.4,1770.9,841.8,1335,951.3,1245.6,1417,1072.7,896.4
bolzano,558.5,592.8,925.3,629.8,665,575.7,961.8,918.1,1050.1,512.9,695.1,724.7,712.1,889.5,872.8,735.8
trento,672.2,697.65,1252.05,1023.48,1320.53,719.42,1229.85,1206.58,1612.93,682.95,894.6,852.4,993.6,1329,984.2,925.4
verona,528.4,516.6,906.4,694.5,1219.6,652.3,690,1022.9,1123.8,506.2,888.4,537.8,824,883.6,949.6,668.2
vicenza,....,....,....,....,1745.2,890.4,877.6,1305,1864.6,844.4,1155.4,707,1066.8,1298.8,964.2,929
belluno,1156.6,1345,1922,1748.8,1889.6,1420.6,1518.2,1526.2,2276.8,1011.4,1409.4,1298,1531.4,2038.8,1653.8,1265.2
treviso,911.8,928.8,1304.2,1213.4,1435.4,807.4,1034.2,1243.6,1872.8,782.6,1150.4,946.2,1032.4,1354,884.4,875
venezia,705.8,552.4,755.8,648.5,917.2,476,487,896,1069.1,525.8,704.1,612.8,621.8,785.2,627.9,484.7
padova,862.4,740.2,1256.6,1014.6,1337.6,664.2,728.8,1181.4,1380.8,551.4,1123.6,637,1014.8,929.6,607.2,725.6
rovigo,491,600,724.8,689.2,851.8,428.6,626.4,852,855.2,607.2,942.2,586,676.6,767.1,532.8,447.8
udine,932.8,984.8,1655.6,1509.2,1831.4,974.6,1278.4,1505.6,1978.2,869.4,1510.2,1527,1106.2,1485,1447.2,1098.2
gorizia,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....
trieste,787.1,773.4,954.5,884.65,1292.65,659.05,750.8,1104.1,1209.45,722.55,916.6,1223.6,723.8,1167.3,845,652.4
pordenone,1100.2,1214.4,1719,1520.3,1858.3,1181.9,1240.4,1435.6,2027.2,978.7,1414.1,1130.6,887.4,1583.7,1026.3,1162.2
imperia,459.4,269.4,794.6,957.2,861.8,634.2,540.6,958.8,1240.2,388.2,485.6,387,727.6,792.2,686.8,532.8
savona,954.8,418.8,1297,1296,1027.4,798.6,713.2,1144.4,1475.2,517.4,812.2,531,1337.6,1416.8,814.6,705.8
genova,906.47,558.13,1246.8,1066.4,1288.4,822.13,928.77,1302.27,2102.6,784.67,830.47,594.77,1269.17,1458.87,986.87,1063
la spezia,812.8,830.2,1238,1520.2,1834.8,737.4,1063.2,1615.6,1555.4,932.8,1085.4,753.2,990.2,1295.2,952,1108
piacenza,578.2,633.6,672.8,618,1123.6,567,555,930,1056.6,522,564.8,534.8,....,843.8,433.4,....
parma,525,637.6,799,779.6,864.4,573.4,639.2,1039,919.8,584.8,598.2,504,....,909.8,....,470.5
reggio nell'emilia,482.2,573.4,877.8,707.8,872.7,521.6,625,864.2,952.8,588.8,477,488.2,687,929.4,....,678.1
modena,423.6,630.2,739.8,597.2,860.4,423.4,516.4,710.2,783.4,543.2,722,428.6,611.4,846.8,609,362.4
bologna,651.4,667.5,770.7,771.6,979.3,502,609.4,911.1,916.1,896.8,735.6,612.4,786.25,829.3,543.15,448.75
ferrara,415.4,377.4,675.6,578.2,798.8,339.4,473.8,692.8,677.8,463.8,834.8,480.8,549.8,478.6,497.2,259.8
ravenna ,442.2,623.8,533.2,487.8,859.4,374.2,523.2,762.6,739,717.2,629.2,577.4,777.2,734.8,303.8,433.6
forlì,557,505.8,537.2,564.8,937.8,510.4,525.8,741.8,813.4,786,674,522.4,....,744.6,430.6,387.8
rimini,552.8,467.6,515.2,676.6,963,537.8,689.6,848,976.4,710.2,850.6,557.4,802.4,741.8,514,292.6
massa carrara,959.6,626.2,1169.4,1368.4,1938.8,942.4,1345.6,1524.6,....,794.6,1242.4,931.4,976.4,1480.4,1060.2,1279.6
lucca,1027.6,839.6,1525.4,1555.8,2157.4,993.4,1362,1784,2054,1152.2,1422.2,1042.8,1452.6,1580.4,1458,1699.2
pistoia,777.5,906.6,1235.4,1135.8,1492.4,793.8,958.8,1478,1207.4,991.2,1160.2,1070.8,1057.6,1391.4,1030.4,1118.4
firenze,663.8,531.25,809.65,717.95,1087.4,538.65,848.3,962.85,1003.05,568,819.95,666.2,936.25,830.8,593.4,704.3
livorno,889,744.2,1175,1050.8,1584.2,478,799.6,1036,1345.4,713.6,1023.8,906.2,954,1180,1025.4,837.2
pisa,805.4,637.3,703.5,....,1452.8,574.2,957.2,1003.6,1349.6,874,1045.2,782.6,850,1070.8,1132.8,847.8
arezzo,622,512.2,903.6,803.8,1095.6,422.2,803.2,778.4,822.8,583.2,1025.2,539.8,517,1091.4,955.6,685
siena,....,....,....,....,....,....,....,....,....,....,....,....,906,877.4,663.4,722.2
grosseto,521.2,364.4,912.2,742.2,777,526,548.8,474.8,796.8,412.6,467.6,261.8,637.2,....,421,462.6
prato,687.6,736.2,820.6,802.6,1243.4,684.4,757.4,1066.2,1394.4,711.8,1022,801.2,915.8,1010.8,938.6,861
perugia,695.4,586.6,960.4,715.6,1266,543.2,968.2,1125.8,1069,537.8,982.8,557.8,826.4,1101,929.8,641.6
terni,735.6,503.2,898,838.4,1094,599.2,817.2,1134.2,941.8,691.8,890,720,887.8,833.2,736.8,614.4
ancona,680.6,452,755,673.6,957,631.4,931.6,902.2,890.8,715.6,774.4,717,598.6,678.2,610.8,667
pesaro urbino,....,561.8,761.6,592.8,914.4,551.6,972.8,775.8,1064,720.2,564,495.2,877,694.8,509.6,532.2
macerata,672,743,857.4,896.43,1153.6,666,1100.6,1074.6,1060.8,1079,867.5,908.9,818.8,793.5,751.6,571.3
